# Data from ./methylazulene_opt_ICSS_XY_1.log.
# Shielding tensor data from ZZ component.
# Processed with ICSScsv.
# Author: Zhe Wang
# Homepage: https://www.wangzhe95.net/program-icsscsv


XY,-7.0,-6.8,-6.6,-6.4,-6.2,-6.0,-5.8,-5.6,-5.4,-5.2,-5.0,-4.8,-4.6,-4.4,-4.2,-4.0,-3.8,-3.6,-3.4,-3.2,-3.0,-2.8,-2.6,-2.4,-2.2,-2.0,-1.8,-1.6,-1.4,-1.2,-1.0,-0.8,-0.6,-0.4,-0.2,0.0,0.2,0.4,0.6,0.8,1.0,1.2,1.4,1.6,1.8,2.0,2.2,2.4,2.6,2.8,3.0,3.2,3.4,3.6,3.8,4.0,4.2,4.4,4.6,4.8,5.0,5.2,5.4,5.6,5.8,6.0,6.2,6.4,6.6,6.8,7.0,
-4.2,0.6639,0.7081,0.7557,0.807,0.8623,0.9217,0.9857,1.0543,1.1278,1.2064,1.2901,1.379,1.4729,1.5716,1.6745,1.7807,1.8888,1.9966,2.1015,2.2006,2.2916,2.3736,2.4484,2.5203,2.5949,2.6766,2.7662,2.8593,2.9482,3.0241,3.0801,3.1129,3.1232,3.1144,3.0917,3.0602,3.0244,2.9866,2.9475,2.9062,2.8612,2.811,2.7547,2.6921,2.6235,2.5495,2.471,2.3888,2.3035,2.2158,2.126,2.0345,1.9415,1.8475,1.753,1.6589,1.566,1.4751,1.3868,1.3018,1.2205,1.1431,1.0698,1.0007,0.9358,0.875,0.8182,0.7653,0.716,0.6703,0.6278,
-4.0,0.6928,0.7403,0.7918,0.8474,0.9075,0.9724,1.0424,1.118,1.1992,1.2864,1.3797,1.4792,1.5848,1.6962,1.8127,1.933,2.0551,2.1756,2.2903,2.3942,2.4833,2.5565,2.6175,2.6759,2.745,2.8358,2.9514,3.0842,3.2178,3.3342,3.419,3.4654,3.4742,3.4525,3.4105,3.359,3.3069,3.259,3.2161,3.1755,3.1329,3.0845,3.0277,2.9616,2.8864,2.8033,2.7139,2.6199,2.5227,2.4236,2.323,2.2212,2.118,2.0136,1.9083,1.8029,1.6985,1.5962,1.4968,1.4012,1.3099,1.2232,1.1415,1.0647,0.9928,0.9258,0.8635,0.8056,0.7519,0.7022,0.6563,
-3.8,0.7223,0.7734,0.8288,0.889,0.9543,1.025,1.1017,1.1847,1.2743,1.371,1.4749,1.5862,1.7048,1.8305,1.9624,2.0988,2.2366,2.3706,2.4938,2.5975,2.6742,2.721,2.7448,2.7646,2.8086,2.9029,3.0568,3.2556,3.4665,3.6528,3.7863,3.854,3.8576,3.8105,3.7328,3.6462,3.5681,3.5079,3.4657,3.4345,3.4042,3.3662,3.3147,3.2478,3.1658,3.0711,2.967,2.8571,2.7447,2.6324,2.5209,2.41,2.2987,2.186,2.0716,1.9559,1.8403,1.7261,1.6149,1.5077,1.4055,1.3087,1.2176,1.1323,1.0529,0.979,0.9106,0.8474,0.789,0.7352,0.6856,
-3.6,0.7523,0.8071,0.8668,0.9317,1.0025,1.0795,1.1632,1.2543,1.353,1.4599,1.5754,1.6997,1.8329,1.9747,2.1242,2.2791,2.4349,2.5838,2.7142,2.8111,2.8597,2.8525,2.7988,2.7332,2.7131,2.7955,3.0043,3.3119,3.653,3.956,4.1688,4.2683,4.2586,4.1647,4.024,3.8776,3.7594,3.687,3.6578,3.6549,3.6563,3.6439,3.6074,3.5433,3.453,3.3412,3.2146,3.0809,2.9474,2.8191,2.6979,2.5822,2.4686,2.3535,2.235,2.1127,1.988,1.863,1.7399,1.6207,1.5068,1.399,1.2978,1.2034,1.1156,1.0344,0.9595,0.8905,0.8271,0.7689,0.7154,
-3.4,0.7827,0.8413,0.9054,0.9754,1.0519,1.1355,1.2268,1.3264,1.4348,1.5528,1.6809,1.8193,1.9686,2.1285,2.2981,2.4746,2.652,2.8188,2.9564,3.0399,3.0413,2.9414,2.7486,2.5201,2.3646,2.4004,2.6826,3.1616,3.7118,4.1998,4.5344,4.6784,4.6411,4.4659,4.2192,3.9758,3.7996,3.7223,3.7343,3.7968,3.8641,3.9025,3.8949,3.8372,3.7336,3.5931,3.4282,3.2543,3.0874,2.9391,2.8126,2.7029,2.6003,2.496,2.3844,2.2638,2.1356,2.0029,1.8695,1.7388,1.613,1.4937,1.3817,1.2774,1.1808,1.0917,1.0099,0.9348,0.866,0.8032,0.7457,
-3.2,0.8132,0.8759,0.9445,1.0198,1.1023,1.1928,1.2919,1.4005,1.5193,1.649,1.7903,1.944,2.1106,2.2905,2.483,2.6853,2.8895,3.0797,3.2284,3.2954,3.2317,2.9951,2.5839,2.0821,1.679,1.6,1.9637,2.688,3.547,4.3067,4.8156,5.0176,4.9302,4.6245,4.2107,3.8199,3.5681,3.5106,3.6204,3.8139,4.0026,4.1281,4.1666,4.1165,3.987,3.7925,3.5539,3.3018,3.0734,2.8983,2.7823,2.7074,2.6469,2.5804,2.4968,2.3935,2.2725,2.139,1.9994,1.859,1.7222,1.5914,1.4684,1.3538,1.2479,1.1505,1.0613,0.9798,0.9055,0.8378,0.7761,
-3.0,0.8438,0.9105,0.9839,1.0645,1.1533,1.2509,1.3582,1.4761,1.6055,1.7472,1.9022,2.0715,2.2561,2.4573,2.6752,2.9075,3.1454,3.3682,3.5376,3.5936,3.4568,3.0486,2.341,1.4405,0.6415,0.3327,0.7443,1.764,3.0238,4.1423,4.88,5.1526,4.9878,4.4925,3.8404,3.2498,2.9208,2.9427,3.2488,3.6742,4.0604,4.3171,4.4178,4.3688,4.1843,3.8801,3.4838,3.0568,2.6951,2.4821,2.4277,2.4685,2.5263,2.5542,2.5376,2.4779,2.3824,2.2605,2.1222,1.9768,1.8312,1.6902,1.5564,1.4315,1.3161,1.2102,1.1134,1.0253,0.9452,0.8725,0.8066,
-2.8,0.8741,0.945,1.0232,1.1094,1.2045,1.3094,1.4251,1.5524,1.6924,1.846,2.0142,2.1983,2.4001,2.6218,2.8656,3.1309,3.4092,3.6763,3.8821,3.9438,3.7448,3.1564,2.1057,0.7036,-0.6467,-1.3527,-1.0119,0.2643,1.9497,3.4761,4.483,4.8399,4.5788,3.8492,2.9105,2.1057,1.7513,1.9701,2.6171,3.3988,4.0632,4.4892,4.658,4.5877,4.2895,3.7587,3.0139,2.1787,1.5064,1.2352,1.3825,1.7448,2.0981,2.3371,2.4569,2.4837,2.4421,2.351,2.2273,2.0851,1.9358,1.787,1.6439,1.5093,1.3845,1.2699,1.1655,1.0707,0.9847,0.907,0.8367,
-2.6,0.904,0.9791,1.0622,1.154,1.2555,1.3678,1.4918,1.6284,1.7786,1.9432,2.1229,2.319,2.5339,2.7714,3.0366,3.3325,3.6538,3.9746,4.2347,4.327,4.094,3.3486,1.9561,0.0046,-2.0213,-3.3251,-3.2857,-1.9466,0.0466,1.9353,3.2126,3.6751,3.3414,2.4039,1.2274,0.3083,0.0903,0.6975,1.8524,3.0982,4.0906,4.6961,4.9169,4.7814,4.2717,3.3094,1.8566,0.1389,-1.2344,-1.6067,-0.9441,0.1667,1.1591,1.819,2.1885,2.3661,2.4198,2.3886,2.2996,2.1742,2.0295,1.8781,1.7283,1.5853,1.4518,1.3289,1.2169,1.1154,1.0236,0.9409,0.8662,
-2.4,0.9333,1.0126,1.1005,1.1979,1.3059,1.4254,1.5576,1.7032,1.8627,2.0363,2.224,2.4265,2.6457,2.887,3.1591,3.4715,3.8258,4.1989,4.5229,4.6668,4.4295,3.5609,1.8552,-0.6453,-3.4183,-5.5099,-6.0808,-5.0367,-3.0473,-0.9957,0.4823,1.0917,0.8095,-0.1499,-1.3203,-2.0576,-1.833,-0.5921,1.2074,2.9566,4.2617,5.0127,5.2449,4.9852,4.1449,2.4915,-0.1745,-3.6021,-6.5509,-7.1036,-5.2158,-2.6202,-0.4866,0.8828,1.6547,2.0697,2.2758,2.3457,2.3208,2.2322,2.105,1.9587,1.8066,1.6576,1.5166,1.3861,1.2669,1.1589,1.0615,0.9738,0.8949,
